839634 function calls (824339 primitive calls) in 5.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1128/1    0.005    0.000    5.641    5.641 {built-in method builtins.exec}
        1    0.000    0.000    5.641    5.641 Julia_set.py:3(<module>)
        1    0.000    0.000    4.578    4.578 Julia_set.py:18(__init__)
        1    0.005    0.005    4.578    4.578 Julia_set.py:50(_canvas)
        1    4.292    4.292    4.298    4.298 Julia_set.py:37(_actual_compute)
    731/7    0.006    0.000    1.073    0.153 <frozen importlib._bootstrap>:978(_find_and_load)
    727/7    0.003    0.000    1.073    0.153 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    924/7    0.001    0.000    1.071    0.153 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    696/7    0.003    0.000    1.070    0.153 <frozen importlib._bootstrap>:663(_load_unlocked)
    638/7    0.002    0.000    1.070    0.153 <frozen importlib._bootstrap_external>:722(exec_module)
   462/32    0.001    0.000    0.955    0.030 {built-in method builtins.__import__}
3011/1513    0.002    0.000    0.602    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        2    0.000    0.000    0.459    0.230 __init__.py:4(<module>)
        1    0.000    0.000    0.455    0.455 line_profiler.py:3(<module>)
        2    0.000    0.000    0.454    0.227 __init__.py:6(<module>)
        1    0.000    0.000    0.378    0.378 embed.py:4(<module>)
      638    0.007    0.000    0.354    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.330    0.330 pyplot.py:19(<module>)
       30    0.000    0.000    0.286    0.010 __init__.py:1(<module>)
        1    0.000    0.000    0.273    0.273 __init__.py:82(<module>)
      714    0.006    0.000    0.230    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.228    0.114 __init__.py:7(<module>)
      695    0.001    0.000    0.221    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
  696/695    0.003    0.000    0.220    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
  484/112    0.001    0.000    0.218    0.002 deprecation.py:384(wrapper)
     2856    0.217    0.000    0.217    0.000 {built-in method nt.stat}
     2823    0.002    0.000    0.216    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.207    0.207 pyplot.py:856(savefig)
        1    0.000    0.000    0.207    0.207 figure.py:2169(savefig)
        1    0.000    0.000    0.207    0.207 backend_qt5agg.py:80(print_figure)
     1255    0.012    0.000    0.201    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.200    0.200 interactiveshell.py:1(<module>)
      638    0.170    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        2    0.000    0.000    0.189    0.095 backend_agg.py:400(draw)
    164/2    0.001    0.000    0.188    0.094 artist.py:33(draw_wrapper)
        2    0.000    0.000    0.188    0.094 figure.py:1819(draw)
      4/2    0.000    0.000    0.187    0.093 image.py:113(_draw_list_compositing_images)
        2    0.000    0.000    0.187    0.093 _base.py:2665(draw)
        1    0.000    0.000    0.158    0.158 __init__.py:108(<module>)
2170/2045    0.028    0.000    0.154    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.138    0.138 backend_bases.py:2083(print_figure)
        1    0.000    0.000    0.138    0.138 backend_bases.py:1600(wrapper)
        1    0.000    0.000    0.137    0.137 backend_agg.py:524(print_jpg)
        1    0.000    0.000    0.135    0.135 colorbar.py:32(<module>)
        1    0.000    0.000    0.117    0.117 figure.py:9(<module>)
        1    0.000    0.000    0.114    0.114 debugger.py:1(<module>)
        1    0.000    0.000    0.110    0.110 completer.py:103(<module>)
        2    0.000    0.000    0.107    0.053 image.py:619(draw)
        2    0.001    0.000    0.106    0.053 image.py:919(make_image)
        2    0.007    0.004    0.105    0.053 image.py:310(_make_image)
        2    0.000    0.000    0.105    0.052 __init__.py:11(<module>)
        1    0.000    0.000    0.104    0.104 __init__.py:37(<module>)
        7    0.000    0.000    0.095    0.014 __init__.py:2(<module>)
        1    0.000    0.000    0.088    0.088 _subplots.py:1(<module>)
  695/691    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      638    0.002    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      638    0.085    0.000    0.085    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.083    0.083 contour.py:3(<module>)
        1    0.000    0.000    0.078    0.078 __init__.py:15(<module>)
        4    0.000    0.000    0.076    0.019 axis.py:1156(draw)
        1    0.000    0.000    0.075    0.075 ipapp.py:6(<module>)
      930    0.001    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        4    0.000    0.000    0.072    0.018 image.py:160(_resample)
       11    0.000    0.000    0.071    0.006 artist.py:1613(kwdoc)
        4    0.070    0.018    0.070    0.018 {built-in method matplotlib._image.resample}
        1    0.000    0.000    0.070    0.070 interface.py:3(<module>)
        1    0.000    0.000    0.069    0.069 _axes.py:1(<module>)
    38/36    0.000    0.000    0.069    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    38/36    0.065    0.002    0.069    0.002 {built-in method _imp.create_dynamic}
      850    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.068    0.068 pyplot.py:2718(imshow)
     2509    0.003    0.000    0.066    0.000 re.py:271(_compile)
        1    0.000    0.000    0.062    0.062 application.py:1(<module>)
        2    0.000    0.000    0.061    0.030 pyplot.py:2366(gca)
      265    0.001    0.000    0.060    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.060    0.060 application.py:10(<module>)
       11    0.001    0.000    0.053    0.005 artist.py:1386(pprint_setters)
        1    0.000    0.000    0.052    0.052 text.py:3(<module>)
        1    0.000    0.000    0.052    0.052 classes.py:5(<module>)
      638    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.049    0.049 magic.py:3(<module>)
      299    0.000    0.000    0.048    0.000 re.py:232(compile)
        9    0.000    0.000    0.047    0.005 __init__.py:109(import_module)
        9    0.000    0.000    0.047    0.005 <frozen importlib._bootstrap>:994(_gcd_import)
     5191    0.002    0.000    0.046    0.000 __init__.py:686(__getitem__)
        1    0.000    0.000    0.046    0.046 __init__.py:64(<module>)
        1    0.000    0.000    0.046    0.046 interactiveshell.py:2(<module>)
      4/2    0.000    0.000    0.044    0.022 pyplot.py:216(switch_backend)
     2704    0.025    0.000    0.043    0.000 inspect.py:613(cleandoc)
        3    0.000    0.000    0.041    0.014 pyplot.py:276(backend_mod)
        1    0.000    0.000    0.039    0.039 rcsetup.py:14(<module>)
        1    0.000    0.000    0.038    0.038 backend_qt5agg.py:3(<module>)
     2391    0.002    0.000    0.038    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.038    0.038 __init__.py:13(<module>)
        3    0.000    0.000    0.037    0.012 pyplot.py:736(gcf)
        1    0.000    0.000    0.037    0.037 pyplot.py:555(figure)
        1    0.000    0.000    0.037    0.037 pyplot.py:312(new_figure_manager)
        1    0.000    0.000    0.037    0.037 backend_bases.py:3487(new_figure_manager)
      265    0.001    0.000    0.037    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.036    0.036 backend_bases.py:3496(new_figure_manager_given_figure)
        1    0.001    0.001    0.035    0.035 backend_qt5.py:1(<module>)
  653/265    0.002    0.000    0.035    0.000 sre_parse.py:417(_parse_sub)
        1    0.000    0.000    0.034    0.034 collections.py:10(<module>)
       46    0.001    0.000    0.034    0.001 text.py:863(get_window_extent)
  831/292    0.013    0.000    0.034    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.034    0.034 textpath.py:1(<module>)
        8    0.000    0.000    0.033    0.004 axis.py:1089(_get_tick_bboxes)
        8    0.000    0.000    0.033    0.004 axis.py:1091(<listcomp>)
        1    0.000    0.000    0.033    0.033 crashhandler.py:8(<module>)
